source,folder,folder_ts,n_files,total_bytes,n_tmp_files,has_manifest,manifest_parse,manifest_status,manifest_schema,labels,placement,activity,position,label_status,duration_s,expected_chunks,manifest_chunks,n_warnings,n_errors,n_radar_bin,radar_frames,radar_bytes,radar_bin_bad,has_npz,npz_ok,npz_radar_frames,npz_csi_samples,npz_sense_samples,npz_camera_frames,n_csi_files,csi_lines,csi_bytes,csi_nonempty_files,has_xytracking,xytracking_ok,has_ha_status,has_sense_error
train_minutes,20260817_2117,1787015820.0,33,17267654,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,58.948999881744385,28,28,3,0,28,280,10325280,0,False,,,,,,2,6263,3378640,1,True,True,True,False
train_minutes,20260817_2118,1787015880.0,62,31129527,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,60.03999996185303,57,57,3,0,57,570,21019320,0,False,,,,,,2,7018,3781943,1,True,True,True,False
train_minutes,20260817_2119,1787015940.0,55,27379254,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,108.50699996948242,50,50,2,0,50,500,18438000,0,False,,,,,,2,6086,3280555,1,True,True,True,False
train_minutes,20260817_2120,1787016000.0,61,30250013,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,95.82299995422363,56,56,2,0,56,560,20650560,0,False,,,,,,2,6240,3365118,1,True,True,True,False
train_minutes,20260817_2121,1787016060.0,58,28927092,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,105.69799995422363,53,53,2,0,53,530,19544280,0,False,,,,,,2,6368,3436110,1,True,True,True,False
train_minutes,20260817_2122,1787016120.0,62,30858388,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,112.55200004577637,57,57,3,0,57,570,21019320,0,False,,,,,,2,6509,3510711,1,True,True,True,False
train_minutes,20260817_2123,1787016180.0,44,22427724,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,100.50699996948242,39,39,2,0,39,390,14381640,0,False,,,,,,2,6346,3432183,1,True,True,True,False
train_minutes,20260817_2124,1787016240.0,61,30295042,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,77.95000004768372,56,56,2,0,56,560,20650560,0,False,,,,,,2,6315,3411465,1,True,True,True,False
train_minutes,20260817_2125,1787016300.0,62,30664491,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,97.87199997901917,57,57,2,0,57,570,21019320,0,False,,,,,,2,6153,3317258,1,True,True,True,False
train_minutes,20260817_2126,1787016360.0,61,31333315,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,126.81599998474121,56,56,2,0,56,560,20650560,0,False,,,,,,2,6292,3390530,1,True,True,True,False
train_minutes,20260817_2127,1787016420.0,51,25158373,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,85.96000003814697,46,46,2,0,46,460,16962960,0,False,,,,,,2,5243,2829611,1,True,True,True,False
train_minutes,20260817_2128,1787016480.0,28,15271275,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,58.8970000743866,23,23,3,0,23,230,8481480,0,False,,,,,,2,6877,3702570,1,True,True,True,False
train_minutes,20260817_2129,1787016540.0,61,30437818,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,99.85800004005432,56,56,2,0,56,560,20650560,0,False,,,,,,2,6572,3554398,1,True,True,True,False
train_minutes,20260817_2130,1787016600.0,51,25536829,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,124.625,46,46,2,0,46,460,16962960,0,False,,,,,,2,6092,3294357,1,True,True,True,False
train_minutes,20260817_2131,1787016660.0,61,30075421,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,87.5920000076294,56,56,3,0,56,560,20650560,0,False,,,,,,2,5892,3191916,1,True,True,True,False
train_minutes,20260817_2132,1787016720.0,14,8848592,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,58.793999910354614,9,9,3,0,9,90,3318840,0,False,,,,,,2,6992,3777161,1,True,True,True,False
train_minutes,20260817_2133,1787016780.0,62,30957091,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,80.85199999809265,57,57,3,0,57,570,21019320,0,False,,,,,,2,6675,3608705,1,True,True,True,False
train_minutes,20260817_2135,1787016900.0,47,23427740,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,105.90199995040894,42,42,2,0,42,420,15487920,0,False,,,,,,2,5799,3136629,1,True,True,True,False
train_minutes,20260817_2136,1787016960.0,29,15754659,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,58.89400005340576,24,24,2,0,24,240,8850240,0,False,,,,,,2,6884,3722054,1,True,True,True,False
train_minutes,20260817_2137,1787017020.0,62,31241653,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,68.02500009536743,57,57,2,0,57,570,21019320,0,False,,,,,,2,7211,3894113,1,True,True,True,False
train_minutes,20260817_2138,1787017080.0,59,29611804,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,96.75699996948242,54,54,2,0,54,540,19913040,0,False,,,,,,2,6756,3656372,1,True,True,True,False
train_minutes,20260817_2139,1787017140.0,18,10343455,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,58.956000089645386,13,13,3,0,13,130,4793880,0,False,,,,,,2,6317,3415687,1,True,True,True,False
train_minutes,20260817_2140,1787017200.0,62,30936704,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,60.76600003242493,57,57,3,0,57,570,21019320,0,False,,,,,,2,6637,3588976,1,True,True,True,False
train_minutes,20260817_2141,1787017260.0,62,31303330,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,82.04200005531311,57,57,2,0,57,570,21019320,0,False,,,,,,2,7313,3955849,1,True,True,True,False
train_minutes,20260817_2142,1787017320.0,61,30601851,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,118.65700006484985,56,56,2,0,56,560,20650560,0,False,,,,,,2,6873,3718207,1,True,True,True,False
train_minutes,20260817_2143,1787017380.0,52,26098705,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,103.95900011062622,47,47,2,0,47,470,17331720,0,False,,,,,,2,6260,3392215,1,True,True,True,False
train_minutes,20260817_2144,1787017440.0,29,15474946,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,61.63199996948242,24,24,3,0,24,240,8850240,0,False,,,,,,2,6367,3442139,1,True,True,True,False
train_minutes,20260817_2145,1787017500.0,60,30052728,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,83.71300005912781,55,55,2,0,55,550,20281800,0,False,,,,,,2,6719,3633420,1,True,True,True,False
train_minutes,20260817_2146,1787017560.0,62,31074338,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,69.92600011825562,57,57,3,0,57,570,21019320,0,False,,,,,,2,6891,3725910,1,True,True,True,False
train_minutes,20260817_2147,1787017620.0,62,32824088,0,True,json,collecting,thoth-minute-manifest/v4,t1_sleep,t1,sleep,,ok,58.0,58,57,1,1,57,570,21019320,0,False,,,,,,2,6339,3430453,1,True,True,True,False
train_minutes,20260817_2148,1787017680.0,62,30522258,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,119.21000003814697,57,57,2,0,57,570,21019320,0,False,,,,,,2,5887,3174718,1,True,True,True,False
train_minutes,20260817_2149,1787017740.0,57,28236827,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,127.08899998664856,52,52,3,0,52,520,19175520,0,False,,,,,,2,5955,3209649,1,True,True,True,False
train_minutes,20260817_2150,1787017800.0,54,26815176,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,133.79999995231628,49,49,2,0,49,490,18069240,0,False,,,,,,2,5897,3180454,1,True,True,True,False
train_minutes,20260817_2151,1787017860.0,53,26570732,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,85.26300001144409,48,48,2,0,48,480,17700480,0,False,,,,,,2,6307,3400187,1,True,True,True,False
train_minutes,20260817_2152,1787017920.0,9,6590552,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,58.759000062942505,4,4,3,0,4,40,1475040,0,False,,,,,,2,7114,3839451,1,True,True,True,False
train_minutes,20260817_2153,1787017980.0,62,31310197,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,60.02900004386902,57,57,3,0,57,570,21019320,0,False,,,,,,2,7357,3964300,1,True,True,True,False
train_minutes,20260817_2154,1787018040.0,62,31209138,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,64.625,57,57,3,0,57,570,21019320,0,False,,,,,,2,7160,3861456,1,True,True,True,False
train_minutes,20260817_2155,1787018100.0,62,31171980,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,102.07999992370605,57,57,2,0,57,570,21019320,0,False,,,,,,2,7102,3824394,1,True,True,True,False
train_minutes,20260817_2156,1787018160.0,43,21913709,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,115.96199989318848,38,38,2,0,38,380,14012880,0,False,,,,,,2,6285,3384072,1,True,True,True,False
train_minutes,20260817_2157,1787018220.0,62,30496103,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,86.56699991226196,57,57,3,0,57,570,21019320,0,False,,,,,,2,5847,3147861,1,True,True,True,False
train_minutes,20260817_2158,1787018280.0,61,30380467,0,True,json,success,thoth-minute-manifest/v5,t1_sleep,t1,sleep,,ok,106.43700003623962,56,56,2,0,56,560,20650560,0,False,,,,,,2,6491,3496941,1,True,True,True,False
