source,folder,category,detail
train_minutes,20260817_2147,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2147,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260817_2159,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2159,chunk_count_mismatch,expected_chunks=58 but 55 radar_*.bin on disk
train_minutes,20260817_2203,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2206,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260817_2206,chunk_count_mismatch,expected_chunks=58 but 53 radar_*.bin on disk
train_minutes,20260817_2209,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2214,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2214,chunk_count_mismatch,expected_chunks=58 but 50 radar_*.bin on disk
train_minutes,20260817_2216,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2242,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2242,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260817_2243,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260817_2243,chunk_count_mismatch,expected_chunks=58 but 53 radar_*.bin on disk
train_minutes,20260817_2250,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2250,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260817_2252,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2254,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2256,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260817_2256,chunk_count_mismatch,expected_chunks=58 but 56 radar_*.bin on disk
train_minutes,20260817_2338,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260817_2354,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0049,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0052,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0052,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0052,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260818_0110,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0130,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0130,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0130,chunk_count_mismatch,expected_chunks=58 but 55 radar_*.bin on disk
train_minutes,20260818_0141,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0141,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0144,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0144,chunk_count_mismatch,expected_chunks=58 but 56 radar_*.bin on disk
train_minutes,20260818_0156,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0222,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0223,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0249,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0401,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0402,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0413,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0413,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260818_0414,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0414,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0414,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260818_0443,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0446,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0446,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0507,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0507,chunk_count_mismatch,expected_chunks=58 but 56 radar_*.bin on disk
train_minutes,20260818_0511,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0511,chunk_count_mismatch,expected_chunks=58 but 54 radar_*.bin on disk
train_minutes,20260818_0525,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0552,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0552,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0552,chunk_count_mismatch,expected_chunks=58 but 56 radar_*.bin on disk
train_minutes,20260818_0606,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0614,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0614,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260818_0623,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0627,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0631,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0757,manifest_error,Radar analysis exceeded its shutdown deadline.
train_minutes,20260818_0757,chunk_count_mismatch,expected_chunks=58 but 57 radar_*.bin on disk
train_minutes,20260818_0806,leftover_tmp,1 .tmp file(s): manifest.json.tmp
train_minutes,20260818_0806,manifest_error,Radar analysis exceeded its shutdown deadline.
